venue,category,filename,tags,blogSlug,blogOrder,blogCover,venuePin,venuePinOrder,momentPin,momentPinOrder,flashPin,flashPinOrder,aiTags,imageId
Ballygally,couple portraits,MKB_Photography-Northern-ireland-wedding-photography-northern-ireland-wedding-photographer-ballygalley-castle-wedding-photography-full res-351_500.webp,,,,,,,,,,,ballygally wedding|couple portraits|bride and groom|coastal portrait|rocky shoreline|romantic embrace|soft natural light|happy couple|wedding day|outdoor portraits|northern ireland wedding,MKB000001
Ballygally,couple portraits,MKB_Photography-Northern-ireland-wedding-photography-northern-ireland-wedding-photographer-ballygalley-castle-wedding-photography-full res-433_500.webp,,,,,,,,,,,ballygally wedding|couple portraits|bride and groom|garden portrait|outdoor wedding|soft natural light|romantic mood|intimate moment|wedding bouquet|veil portrait|lush greenery|castle wedding,MKB000002
Ballygally,couple portraits,MKB_Photography-Northern-ireland-wedding-photography-northern-ireland-wedding-photographer-ballygalley-castle-wedding-photography-full res-437_500.webp,,,,,,,,,,,ballygally wedding|couple portraits|bride and groom|stone arch|garden backdrop|natural light|romantic mood|intimate portrait|wedding veil|groom boutonniere|castle wedding|newlyweds,MKB000003
Ballygally,details and decor,MKB_Photography-Northern-ireland-wedding-photography-northern-ireland-wedding-photographer-ballygalley-castle-wedding-photography-full res-14_500.webp,,,,,,,,,,,ballygally wedding|wedding dress|bridesmaid dresses|bridal details|wedding shoes|getting ready|bridal suite|floral decor|window light|elegant decor|calm mood|pre-ceremony,MKB000004
Ballygally,details and decor,MKB_Photography-Northern-ireland-wedding-photography-northern-ireland-wedding-photographer-ballygalley-castle-wedding-photography-full res-461_500.webp,,,,,,,,,,,ballygally wedding|reception details|table decor|wedding breakfast|floral centerpiece|place settings|candles|summer drinks|soft light|romantic decor|guest seating|elegant reception,MKB000005
Ballygally,family and bridal party,MKB_Photography-Northern-ireland-wedding-photography-northern-ireland-wedding-photographer-ballygalley-castle-wedding-photography-full res-392_500.webp,,,,,,,,,,,ballygally wedding|bridal party|family portraits|bride and groom|bridesmaid|groomsman|garden portrait|castle grounds|overcast light|romantic|formal group|wedding flowers,MKB000006
Ballygally,family and bridal party,MKB_Photography-Northern-ireland-wedding-photography-northern-ireland-wedding-photographer-ballygalley-castle-wedding-photography-full res-420_500.webp,,,,,,,,,,,ballygally wedding|group portrait|wedding guests|family photos|bridal party|bride and groom|outdoor wedding|coastal backdrop|overcast light|celebration|cheering guests|wedding reception,MKB000007
Ballygally,family and bridal party,MKB_Photography-Northern-ireland-wedding-photography-northern-ireland-wedding-photographer-ballygalley-castle-wedding-photography-full res-424_500.webp,,,,,,,,,,,ballygally wedding|bride|bridesmaids|bridal party|bouquets|outdoor portraits|coastal backdrop|garden setting|soft light|joyful|pastel dresses|wedding portraits,MKB000008
Ballygally,getting ready,MKB_Photography-Northern-ireland-wedding-photography-northern-ireland-wedding-photographer-ballygalley-castle-wedding-photography-full res-53_500.webp,,,,,,,,,,,ballygally|getting ready|bride|bridesmaids|bridal party|robes|gift exchange|morning prep|indoor|natural light|relaxed|joyful,MKB000009
Ballygally,getting ready,MKB_Photography-Northern-ireland-wedding-photography-northern-ireland-wedding-photographer-ballygalley-castle-wedding-photography-full res-67_500.webp,,,,,,,,,,,ballygally|getting ready|bride|wedding card|bridal prep|morning details|soft light|intimate moment|emotional|wedding morning|close up,MKB000010
Ballyliffen,couple portraits,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--10_500.webp,,,,,,,,,,,ballyliffen|couple portraits|beach wedding|coastal portraits|bride and groom|overcast sky|romantic mood|windswept|donegal wedding|seaside|wedding dress|groom suit,MKB000011
Ballyliffen,couple portraits,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--11_500.webp,,,,,,,,,,,beach portrait|bride and groom|couple portraits|ocean backdrop|rocky shoreline|overcast light|romantic|intimate|wedding kiss|coastal wedding|donegal wedding|ballyliffen,MKB000012
Ballyliffen,couple portraits,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--12_500.webp,,,,,,,,,,,couple portraits|bride and groom|beach wedding|ballyliffen|coastal portraits|overcast sky|flash lighting|romantic|joyful|wedding day|winter wedding|donegal wedding,MKB000013
Ballyliffen,couple portraits,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--13_500.webp,,,,,,,,,,,ballyliffen|beach portraits|bride and groom|couple portraits|coastal wedding|overcast sky|soft light|romantic|windswept|wedding dress|black tie|newlyweds,MKB000014
Ballyliffen,couple portraits,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--14_500.webp,,,,,,,,,,,ballyliffen|couple portraits|bride and groom|beach wedding|coastal portraits|wedding car|overcast light|romantic|windswept|donegal wedding|newlyweds|shoreline,MKB000015
Ballyliffen,couple portraits,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--15_500.webp,,,,,,,,,,,couple portrait|bride and groom|beach wedding|coastal portrait|ballyliffen|donegal wedding|overcast light|romantic|elegant|wedding dress|black tie|seaside,MKB000016
Ballyliffen,couple portraits,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--16_500.webp,,,,,,,,,,,ballyliffen|couple portraits|wedding car|newlyweds|kiss|romantic|silhouette|warm light|intimate moment|car ribbon|bride and groom|donegal wedding,MKB000017
Ballyliffen,couple portraits,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--19_500.webp,,,,,,,,,,,ballyliffen|couple portraits|bride and groom|indoor portrait|christmas decor|doorway portrait|soft lighting|romantic|elegant|wedding dress|black tie|newlyweds,MKB000018
Ballyliffen,couple portraits,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--21_500.webp,,,,,,,,,,,ballyliffen|bridal portrait|bride|staircase|wedding dress|bridal bouquet|chandelier|indoor|dramatic lighting|elegant|romantic|couple portraits,MKB000019
Ballyliffen,couple portraits,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--22_500.webp,,,,,,,,,,,ballyliffen|bride portrait|wedding dress|bridal bouquet|indoor portrait|staircase|soft lighting|joyful|elegant|romantic|bridal moment|donegal wedding,MKB000020
Ballyliffen,couple portraits,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--31_500.webp,,,,,,,,,,,ballyliffen|couple portrait|bride and groom|wedding embrace|indoor portrait|fairy lights|warm lighting|romantic mood|evening portrait|wedding dress|groom suit|intimate moment,MKB000021
Ballyliffen,details and decor,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--17_500.webp,,,,,,,,,,,wedding reception|reception decor|ballyliffen wedding|floral garland|top table|banquet room|round tables|elegant decor|soft indoor light|romantic mood|table settings|wedding details,MKB000022
Ballyliffen,details and decor,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--1_500.webp,,,,,,,,,,,wedding dress|bridal details|dress hanging|staircase|window light|backlit|elegant decor|romantic mood|wedding morning|ballyliffen|donegal wedding,MKB000023
